"filename", "language", "JSON", "JavaScript", "PostCSS", "TypeScript", "Svelte", "Markdown", "YAML", "JSON with Comments", "XML", "HTML", "TOML", "Rust", "comment", "blank", "total"
"/home/qlt/zeno-wallet/src-tauri/src/utils/ps_check.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 209, 20, 26, 255
"/home/qlt/zeno-wallet/src-tauri/src/utils/qr.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 1, 2, 13
"/home/qlt/zeno-wallet/src-tauri/src/utils/time.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 9, 12, 64
"/home/qlt/zeno-wallet/src-tauri/tauri.conf.json", "JSON", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 38
"/home/qlt/zeno-wallet/src/App.svelte", "Svelte", 0, 0, 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 17, 111
"/home/qlt/zeno-wallet/src/abis/erc1155.json", "JSON", 335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 336
"/home/qlt/zeno-wallet/src/abis/erc20.json", "JSON", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 118
"/home/qlt/zeno-wallet/src/abis/erc721.json", "JSON", 352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 353
"/home/qlt/zeno-wallet/src/abis/weth.json", "JSON", 279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 280
"/home/qlt/zeno-wallet/src/app.pcss", "PostCSS", 0, 0, 450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 89, 544
"/home/qlt/zeno-wallet/src/components/accountList.svelte", "Svelte", 0, 0, 0, 0, 254, 0, 0, 0, 0, 0, 0, 0, 0, 22, 276
"/home/qlt/zeno-wallet/src/components/activityRemote.svelte", "Svelte", 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 13, 161
"/home/qlt/zeno-wallet/src/components/addAccount.svelte", "Svelte", 0, 0, 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 13, 131
"/home/qlt/zeno-wallet/src/components/autolock.svelte", "Svelte", 0, 0, 0, 0, 292, 0, 0, 0, 0, 0, 0, 0, 0, 27, 319
"/home/qlt/zeno-wallet/src/components/chainSelector.svelte", "Svelte", 0, 0, 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 8, 117
