"filename", "language", "HTML", "Markdown", "YAML", "JSON with Comments", "JavaScript", "JSON", "XML", "PostCSS", "TypeScript", "Svelte", "Rust", "TOML", "Kotlin", "comment", "blank", "total"
"/home/qlt/zeno-wallet/src-tauri/src/ai/guard.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/qlt/zeno-wallet/src-tauri/src/ai/mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/qlt/zeno-wallet/src-tauri/src/airgap/airgap.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/qlt/zeno-wallet/src-tauri/src/airgap/mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/qlt/zeno-wallet/src-tauri/src/apps/list.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/qlt/zeno-wallet/src-tauri/src/apps/mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"/home/qlt/zeno-wallet/src-tauri/src/constants.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 4, 7
"/home/qlt/zeno-wallet/src-tauri/src/core/account.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 267, 0, 0, 7, 27, 301
"/home/qlt/zeno-wallet/src-tauri/src/core/api.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"/home/qlt/zeno-wallet/src-tauri/src/core/db.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 339, 0, 0, 18, 43, 400
"/home/qlt/zeno-wallet/src-tauri/src/core/mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 4, 11
"/home/qlt/zeno-wallet/src-tauri/src/core/persistent.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 217, 0, 0, 7, 21, 245
"/home/qlt/zeno-wallet/src-tauri/src/core/screen_locker.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/qlt/zeno-wallet/src-tauri/src/core/session.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 7, 40
"/home/qlt/zeno-wallet/src-tauri/src/core/state.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 2, 14, 111
"/home/qlt/zeno-wallet/src-tauri/src/core/temp.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/qlt/zeno-wallet/src-tauri/src/core/update.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 6, 7, 55
"/home/qlt/zeno-wallet/src-tauri/src/core/vault.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 6, 13, 63
"/home/qlt/zeno-wallet/src-tauri/src/core/wallet_locker.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
